Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Total,Date,Time,Payment,gross margin percentage,gross income,Rating
750-67-8428,A,Yangon,Member,Female,Health and beauty, $74.69 ,7, $548.97 ,5-1-2019,13:08,Ewallet,4.7%, $26.14 ,9.1
226-31-3081,C,Naypyitaw,Normal,Female,Electronic accessories, $15.28 ,5, $80.22 ,8-3-2019,10:29,Cash,4.7%, $3.82 ,9.6
631-41-3108,A,Yangon,Normal,Male,Home and lifestyle, $46.33 ,7, $340.53 ,3-3-2019,13:23,Credit card,4.7%, $16.22 ,7.4
123-19-1176,A,Yangon,Member,Male,Health and beauty, $58.22 ,8, $489.05 ,1-27-2019,20:33,Ewallet,4.7%, $23.29 ,8.4
373-73-7910,A,Yangon,Normal,Male,Sports and travel, $86.31 ,7, $634.38 ,8-2-2019,10:37,Ewallet,4.7%, $30.21 ,5.3
699-14-3026,C,Naypyitaw,Normal,Male,Electronic accessories, $85.39 ,7, $627.62 ,3-25-2019,18:30,Ewallet,4.7%, $29.89 ,4.1
355-53-5943,A,Yangon,Member,Female,Electronic accessories, $68.84 ,6, $433.69 ,2-25-2019,14:36,Ewallet,4.7%, $20.65 ,5.8
315-22-5665,C,Naypyitaw,Normal,Female,Home and lifestyle, $73.56 ,10, $772.38 ,2-24-2019,11:38,Ewallet,4.7%, $36.78 ,8
665-32-9167,A,Yangon,Member,Female,Health and beauty, $36.26 ,2, $76.15 ,10-1-2019,17:15,Credit card,4.7%, $3.63 ,7.2
692-92-5582,B,Mandalay,Member,Female,Food and beverages, $54.84 ,3, $172.75 ,2-20-2019,13:27,Credit card,4.7%, $8.23 ,5.9
351-62-0822,B,Mandalay,Member,Female,Fashion accessories, $14.48 ,4, $60.82 ,6-2-2019,18:07,Ewallet,4.7%, $2.90 ,4.5
529-56-3974,B,Mandalay,Member,Male,Electronic accessories, $25.51 ,4, $107.14 ,9-3-2019,17:03,Cash,4.7%, $5.10 ,6.8
365-64-0515,A,Yangon,Normal,Female,Electronic accessories, $46.95 ,5, $246.49 ,12-2-2019,10:25,Ewallet,4.7%, $11.74 ,7.1
252-56-2699,A,Yangon,Normal,Male,Food and beverages, $43.19 ,10, $453.50 ,7-2-2019,16:48,Ewallet,4.7%, $21.60 ,8.2
829-34-3910,A,Yangon,Normal,Female,Health and beauty, $71.38 ,10, $749.49 ,3-29-2019,19:21,Cash,4.7%, $35.69 ,5.7
299-46-1805,B,Mandalay,Member,Female,Sports and travel, $93.72 ,6, $590.44 ,1-15-2019,16:19,Cash,4.7%, $28.12 ,4.5
656-95-9349,A,Yangon,Member,Female,Health and beauty, $68.93 ,7, $506.64 ,11-3-2019,11:03,Credit card,4.7%, $24.13 ,4.6
765-26-6951,A,Yangon,Normal,Male,Sports and travel, $72.61 ,6, $457.44 ,1-1-2019,10:39,Credit card,4.7%, $21.78 ,6.9
329-62-1586,A,Yangon,Normal,Male,Food and beverages, $54.67 ,3, $172.21 ,1-21-2019,18:00,Credit card,4.7%, $8.20 ,8.6
319-50-3348,B,Mandalay,Normal,Female,Home and lifestyle, $40.30 ,2, $84.63 ,11-3-2019,15:30,Ewallet,4.7%, $4.03 ,4.4
300-71-4605,C,Naypyitaw,Member,Male,Electronic accessories, $86.04 ,5, $451.71 ,2-25-2019,11:24,Ewallet,4.7%, $21.51 ,4.8
371-85-5789,B,Mandalay,Normal,Male,Health and beauty, $87.98 ,3, $277.14 ,5-3-2019,10:40,Ewallet,4.7%, $13.20 ,5.1
273-16-6619,B,Mandalay,Normal,Male,Home and lifestyle, $33.20 ,2, $69.72 ,3-15-2019,12:20,Credit card,4.7%, $3.32 ,4.4
636-48-8204,A,Yangon,Normal,Male,Electronic accessories, $34.56 ,5, $181.44 ,2-17-2019,11:15,Ewallet,4.7%, $8.64 ,9.9
549-59-1358,A,Yangon,Member,Male,Sports and travel, $88.63 ,3, $279.18 ,2-3-2019,17:36,Ewallet,4.7%, $13.29 ,6
227-03-5010,A,Yangon,Member,Female,Home and lifestyle, $52.59 ,8, $441.76 ,3-22-2019,19:20,Credit card,4.7%, $21.04 ,8.5
649-29-6775,B,Mandalay,Normal,Male,Fashion accessories, $33.52 ,1, $35.20 ,8-2-2019,15:31,Cash,4.7%, $1.68 ,6.7
189-17-4241,A,Yangon,Normal,Female,Fashion accessories, $87.67 ,2, $184.11 ,10-3-2019,12:17,Credit card,4.7%, $8.77 ,7.7
145-94-9061,B,Mandalay,Normal,Female,Food and beverages, $88.36 ,5, $463.89 ,1-25-2019,19:48,Cash,4.7%, $22.09 ,9.6
848-62-7243,A,Yangon,Normal,Male,Health and beauty, $24.89 ,9, $235.21 ,3-15-2019,15:36,Cash,4.7%, $11.20 ,7.4
871-79-8483,B,Mandalay,Normal,Male,Fashion accessories, $94.13 ,5, $494.18 ,2-25-2019,19:39,Credit card,4.7%, $23.53 ,4.8
149-71-6266,B,Mandalay,Member,Male,Sports and travel, $78.07 ,9, $737.76 ,1-28-2019,12:43,Cash,4.7%, $35.13 ,4.5
640-49-2076,B,Mandalay,Normal,Male,Sports and travel, $83.78 ,8, $703.75 ,10-1-2019,14:49,Cash,4.7%, $33.51 ,5.1
595-11-5460,A,Yangon,Normal,Male,Health and beauty, $96.58 ,2, $202.82 ,3-15-2019,10:12,Credit card,4.7%, $9.66 ,5.1
183-56-6882,C,Naypyitaw,Member,Female,Food and beverages, $99.42 ,4, $417.56 ,6-2-2019,10:42,Ewallet,4.7%, $19.88 ,7.5
232-16-2483,C,Naypyitaw,Member,Female,Sports and travel, $68.12 ,1, $71.53 ,7-1-2019,12:28,Ewallet,4.7%, $3.41 ,6.8
129-29-8530,A,Yangon,Member,Male,Sports and travel, $62.62 ,5, $328.76 ,10-3-2019,19:15,Ewallet,4.7%, $15.66 ,7
272-65-1806,A,Yangon,Normal,Female,Electronic accessories, $60.88 ,9, $575.32 ,1-15-2019,17:17,Ewallet,4.7%, $27.40 ,4.7
333-73-7901,C,Naypyitaw,Normal,Female,Health and beauty, $54.92 ,8, $461.33 ,3-23-2019,13:24,Ewallet,4.7%, $21.97 ,7.6
777-82-7220,B,Mandalay,Member,Male,Home and lifestyle, $30.12 ,8, $253.01 ,3-3-2019,13:01,Cash,4.7%, $12.05 ,7.7
280-35-5823,B,Mandalay,Member,Female,Home and lifestyle, $86.72 ,1, $91.06 ,1-17-2019,18:45,Ewallet,4.7%, $4.34 ,7.9
554-53-8700,C,Naypyitaw,Member,Male,Home and lifestyle, $56.11 ,2, $117.83 ,2-2-2019,10:11,Cash,4.7%, $5.61 ,6.3
354-25-5821,B,Mandalay,Member,Female,Sports and travel, $69.12 ,6, $435.46 ,8-2-2019,13:03,Cash,4.7%, $20.74 ,5.6
228-96-1411,C,Naypyitaw,Member,Female,Food and beverages, $98.70 ,8, $829.08 ,4-3-2019,20:39,Cash,4.7%, $39.48 ,7.6
617-15-4209,C,Naypyitaw,Member,Male,Health and beauty, $15.37 ,2, $32.28 ,3-16-2019,19:47,Cash,4.7%, $1.54 ,7.2
132-32-9879,B,Mandalay,Member,Female,Electronic accessories, $93.96 ,4, $394.63 ,9-3-2019,18:00,Cash,4.7%, $18.79 ,9.5
370-41-7321,B,Mandalay,Member,Male,Health and beauty, $56.69 ,9, $535.72 ,2-27-2019,17:24,Credit card,4.7%, $25.51 ,8.4
727-46-3608,B,Mandalay,Member,Female,Food and beverages, $20.01 ,9, $189.09 ,6-2-2019,15:47,Ewallet,4.7%, $9.00 ,4.1
669-54-1719,B,Mandalay,Member,Male,Electronic accessories, $18.93 ,6, $119.26 ,10-2-2019,12:45,Credit card,4.7%, $5.68 ,8.1
574-22-5561,C,Naypyitaw,Member,Female,Fashion accessories, $82.63 ,10, $867.62 ,3-19-2019,17:08,Ewallet,4.7%, $41.32 ,7.9
326-78-5178,C,Naypyitaw,Member,Male,Food and beverages, $91.40 ,7, $671.79 ,3-2-2019,10:19,Cash,4.7%, $31.99 ,9.5
162-48-8011,A,Yangon,Member,Female,Food and beverages, $44.59 ,5, $234.10 ,10-2-2019,15:10,Cash,4.7%, $11.15 ,8.5
616-24-2851,B,Mandalay,Member,Female,Fashion accessories, $17.87 ,4, $75.05 ,3-22-2019,14:42,Ewallet,4.7%, $3.57 ,6.5
778-71-5554,C,Naypyitaw,Member,Male,Fashion accessories, $15.43 ,1, $16.20 ,1-25-2019,15:46,Credit card,4.7%, $0.77 ,6.1
242-55-6721,B,Mandalay,Normal,Male,Home and lifestyle, $16.16 ,2, $33.94 ,7-3-2019,11:49,Ewallet,4.7%, $1.62 ,6.5
399-46-5918,C,Naypyitaw,Normal,Female,Electronic accessories, $85.98 ,8, $722.23 ,2-28-2019,19:01,Cash,4.7%, $34.39 ,8.2
106-35-6779,A,Yangon,Member,Male,Home and lifestyle, $44.34 ,2, $93.11 ,3-27-2019,11:26,Cash,4.7%, $4.43 ,5.8
635-40-6220,A,Yangon,Normal,Male,Health and beauty, $89.60 ,8, $752.64 ,7-2-2019,11:28,Ewallet,4.7%, $35.84 ,6.6
817-48-8732,A,Yangon,Member,Female,Home and lifestyle, $72.35 ,10, $759.68 ,1-20-2019,15:55,Cash,4.7%, $36.18 ,5.4
120-06-4233,C,Naypyitaw,Normal,Male,Electronic accessories, $30.61 ,6, $192.84 ,12-3-2019,20:36,Cash,4.7%, $9.18 ,9.3
285-68-5083,C,Naypyitaw,Member,Female,Sports and travel, $24.74 ,3, $77.93 ,2-15-2019,17:47,Credit card,4.7%, $3.71 ,10
803-83-5989,C,Naypyitaw,Normal,Male,Home and lifestyle, $55.73 ,6, $351.10 ,2-24-2019,10:55,Ewallet,4.7%, $16.72 ,7
347-34-2234,B,Mandalay,Member,Female,Sports and travel, $55.07 ,9, $520.41 ,3-2-2019,13:40,Ewallet,4.7%, $24.78 ,10
199-75-8169,A,Yangon,Member,Male,Sports and travel, $15.81 ,10, $166.01 ,6-3-2019,12:27,Credit card,4.7%, $7.91 ,8.6
853-23-2453,B,Mandalay,Member,Male,Health and beauty, $75.74 ,4, $318.11 ,2-14-2019,14:35,Cash,4.7%, $15.15 ,7.6
877-22-3308,A,Yangon,Member,Male,Health and beauty, $15.87 ,10, $166.64 ,3-13-2019,16:40,Cash,4.7%, $7.94 ,5.8
838-78-4295,C,Naypyitaw,Normal,Female,Health and beauty, $33.47 ,2, $70.29 ,10-2-2019,15:43,Ewallet,4.7%, $3.35 ,6.7
109-28-2512,B,Mandalay,Member,Female,Fashion accessories, $97.61 ,6, $614.94 ,7-1-2019,15:01,Ewallet,4.7%, $29.28 ,9.9
232-11-3025,A,Yangon,Normal,Male,Sports and travel, $78.77 ,10, $827.09 ,1-24-2019,10:04,Cash,4.7%, $39.39 ,6.4
382-03-4532,A,Yangon,Member,Female,Health and beauty, $18.33 ,1, $19.25 ,2-2-2019,18:50,Cash,4.7%, $0.92 ,4.3
393-65-2792,C,Naypyitaw,Normal,Male,Food and beverages, $89.48 ,10, $939.54 ,6-1-2019,12:46,Credit card,4.7%, $44.74 ,9.6
796-12-2025,C,Naypyitaw,Normal,Male,Fashion accessories, $62.12 ,10, $652.26 ,11-2-2019,16:19,Cash,4.7%, $31.06 ,5.9
510-95-6347,B,Mandalay,Member,Female,Food and beverages, $48.52 ,3, $152.84 ,5-3-2019,18:17,Ewallet,4.7%, $7.28 ,4
841-35-6630,C,Naypyitaw,Normal,Female,Electronic accessories, $75.91 ,6, $478.23 ,9-3-2019,18:21,Cash,4.7%, $22.77 ,8.7
287-21-9091,A,Yangon,Normal,Male,Home and lifestyle, $74.67 ,9, $705.63 ,1-22-2019,10:55,Ewallet,4.7%, $33.60 ,9.4
732-94-0499,C,Naypyitaw,Normal,Female,Electronic accessories, $41.65 ,10, $437.33 ,1-13-2019,17:04,Credit card,4.7%, $20.83 ,5.4
263-10-3913,C,Naypyitaw,Member,Male,Fashion accessories, $49.04 ,9, $463.43 ,9-1-2019,14:20,Credit card,4.7%, $22.07 ,8.6
381-20-0914,A,Yangon,Member,Female,Fashion accessories, $20.01 ,9, $189.09 ,12-1-2019,15:48,Credit card,4.7%, $9.00 ,5.7
829-49-1914,C,Naypyitaw,Member,Female,Food and beverages, $78.31 ,10, $822.26 ,5-3-2019,16:24,Ewallet,4.7%, $39.16 ,6.6
756-01-7507,C,Naypyitaw,Normal,Female,Health and beauty, $20.38 ,5, $107.00 ,1-22-2019,18:56,Cash,4.7%, $5.10 ,6
